Date/Time,Electricity:Facility [J](TimeStep),Electricity:Building [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:HVAC [J](TimeStep),Electricity:Plant [J](TimeStep),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod) 
 06/01  00:15:00,18934422.31802851,1360800.0,972000.0,2619530.621814628,14954091.696213879 
 06/01  00:30:00,18911061.299946047,1360800.0,972000.0,2619530.621814628,14930730.678131416 
 06/01  00:45:00,18889721.435156632,1360800.0,972000.0,2619530.621814628,14909390.813342001 
 06/01  01:00:00,18870157.602370728,1360800.0,972000.0,2619530.621814628,14889826.980556097 
 06/01  01:15:00,18872358.968485676,1360800.0,972000.0,2619530.621814628,14892028.346671047 
 06/01  01:30:00,18874495.838862024,1360800.0,972000.0,2619530.621814628,14894165.217047393 
 06/01  01:45:00,18876563.792664755,1360800.0,972000.0,2619530.621814628,14896233.170850126 
 06/01  02:00:00,18878558.64426064,1360800.0,972000.0,2619530.621814628,14898228.02244601 
 06/01  02:15:00,18879634.199978467,1360800.0,972000.0,2619530.621814628,14899303.578163836 
 06/01  02:30:00,18880624.41241409,1360800.0,972000.0,2619530.621814628,14900293.79059946 
 06/01  02:45:00,18881525.87619981,1360800.0,972000.0,2619530.621814628,14901195.25438518 
 06/01  03:00:00,18882336.210447043,1360800.0,972000.0,2619530.621814628,14902005.588632414 
 06/01  03:15:00,18880379.08401659,1360800.0,972000.0,2619530.621814628,14900048.46220196 
 06/01  03:30:00,18878405.503918372,1360800.0,972000.0,2619530.621814628,14898074.882103741 
 06/01  03:45:00,18876415.549716555,1360800.0,972000.0,2619530.621814628,14896084.927901924 
 06/01  04:00:00,18874409.507493317,1360800.0,972000.0,2619530.621814628,14894078.885678688 
 06/01  04:15:00,18871495.216872804,1360800.0,972000.0,2619530.621814628,14891164.595058173 
 06/01  04:30:00,18868616.983272392,1360800.0,972000.0,2619530.621814628,14888286.361457761 
 06/01  04:45:00,18865774.050558046,1360800.0,972000.0,2619530.621814628,14885443.428743415 
 06/01  05:00:00,18862965.76156907,1360800.0,972000.0,2619530.621814628,14882635.13975444 
 06/01  05:15:00,18859465.357405316,1360800.0,972000.0,2619530.621814628,14879134.735590687 
 06/01  05:30:00,18856009.947379235,1360800.0,972000.0,2619530.621814628,14875679.325564604 
 06/01  05:45:00,18852630.97826393,1360800.0,972000.0,2619530.621814628,14872300.3564493 
 06/01  06:00:00,18849310.19526151,1360800.0,972000.0,2619530.621814628,14868979.57344688 
 06/01  06:15:00,18849991.211820994,1360800.0,972000.0,2619530.621814628,14869660.590006363 
 06/01  06:30:00,18850674.84246121,1360800.0,972000.0,2619530.621814628,14870344.220646579 
 06/01  06:45:00,18851361.05756116,1360800.0,972000.0,2619530.621814628,14871030.435746528 
 06/01  07:00:00,18852049.967650183,1360800.0,972000.0,2619530.621814628,14871719.345835552 
 06/01  07:15:00,18855484.9925456,1360800.0,972000.0,2619530.621814628,14875154.370730972 
 06/01  07:30:00,18859006.554259412,1360800.0,972000.0,2619530.621814628,14878675.932444781 
 06/01  07:45:00,18862583.51824174,1360800.0,972000.0,2619530.621814628,14882252.89642711 
 06/01  08:00:00,18866235.08492345,1360800.0,972000.0,2619530.621814628,14885904.46310882 
 06/01  08:15:00,42793080.967098296,25272000.0,17496000.0,2626797.522996898,14894283.444101403 
 06/01  08:30:00,42809986.86651997,25272000.0,17496000.0,2634922.8186697904,14903064.04785019 
 06/01  08:45:00,43902113.179048344,25272000.0,17496000.0,2658026.646378682,15972086.532669665 
 06/01  09:00:00,45349471.81118659,25272000.0,17496000.0,2688345.096582393,17389126.7146042 
 06/01  09:15:00,62167625.6368585,35964000.0,18468000.0,2899767.593568259,23303858.04329025 
 06/01  09:30:00,63776652.18751205,35964000.0,18468000.0,2941273.4869970246,24871378.700515028 
 06/01  09:45:00,65276097.64747723,35964000.0,18468000.0,2980186.9127029967,26331910.73477423 
 06/01  10:00:00,66748572.136305176,35964000.0,18468000.0,3014718.4633542686,27769853.672950912 
 06/01  10:15:00,69358297.07446858,36936000.0,19440000.0,3046478.1580751943,29375818.91639338 
 06/01  10:30:00,71053523.94431552,36936000.0,19440000.0,3075299.671478321,31042224.272837203 
 06/01  10:45:00,72830020.7169754,36936000.0,19440000.0,3108478.3218725985,32785542.395102818 
 06/01  11:00:00,74602580.60419193,36936000.0,19440000.0,3145154.6221848372,34521425.982007094 
 06/01  11:15:00,74124471.03335732,35964000.0,18468000.0,3109740.5914029507,35050730.44195438 
 06/01  11:30:00,75130020.29078604,35964000.0,18468000.0,3137138.5436965004,36028881.74708955 
 06/01  11:45:00,76114256.73705104,35964000.0,18468000.0,3161537.3511665403,36988719.385884486 
 06/01  12:00:00,75990426.61838771,35964000.0,18468000.0,3179444.2674648105,36846982.350922905 
 06/01  12:15:00,72978112.69794457,33048000.0,15552000.0,3043747.1515776403,36886365.54636693 
 06/01  12:30:00,72099137.9221976,33048000.0,15552000.0,3033562.9455243596,36017574.976673245 
 06/01  12:45:00,71643363.46282014,33048000.0,15552000.0,3032514.738333153,35562848.72448699 
 06/01  13:00:00,71267915.46684375,33048000.0,15552000.0,3033854.6908835336,35186060.775960214 
 06/01  13:15:00,73395581.45561515,34992000.0,17496000.0,3176028.3650143603,35227553.09060077 
 06/01  13:30:00,72432174.60578972,34992000.0,17496000.0,3196533.4190274337,34243641.186762296 
